Index,Close,SMA,EMA,RSI,StochK
1,31.24,,30.95,,
2,31.43,,31.01,,
3,31.53,,31.08,,
4,31.30,,31.11,,
5,31.40,,31.15,,
6,31.33,,31.17,,
7,31.75,,31.25,,
8,32.11,,31.36,,
9,31.98,,31.45,,
10,32.02,,31.52,,
11,31.87,,31.57,,
12,31.91,,31.61,,
13,32.13,31.64,31.68,,100.00
14,31.65,31.69,31.68,63.07,46.07
15,30.91,31.67,31.58,44.95,0.00
16,30.71,31.61,31.46,39.02,0.00
17,30.29,31.53,31.30,32.78,0.00
18,30.15,31.44,31.15,33.62,0.00
19,29.66,31.32,30.95,27.69,0.00
20,30.81,31.28,30.93,44.78,46.56
21,29.99,31.16,30.81,33.64,13.36
22,30.56,31.05,30.77,36.14,36.44
23,30.40,30.93,30.72,35.94,29.96
24,30.52,30.83,30.70,36.84,34.82
25,30.43,30.72,30.66,37.23,31.17
26,30.57,30.63,30.65,38.33,36.84
27,30.92,30.54,30.69,39.69,63.32
28,30.85,30.48,30.71,42.67,94.44
29,31.00,30.49,30.75,50.92,100.00
30,31.00,30.51,30.78,53.10,100.00
31,31.73,30.61,30.91,64.46,100.00
32,31.85,30.74,31.03,67.14,100.00
33,31.23,30.85,31.06,65.42,66.67
34,33.30,31.02,31.36,70.72,100.00
35,32.00,31.17,31.44,65.49,55.17
36,33.18,31.36,31.67,68.45,95.86
37,34.55,31.65,32.06,74.97,100.00
38,36.00,32.04,32.58,78.42,100.00
39,37.20,32.53,33.20,81.49,100.00
40,37.30,33.01,33.75,81.42,100.00
41,37.16,33.45,34.20,79.71,97.83
42,37.43,33.92,34.63,80.75,100.00
43,37.67,34.40,35.04,80.91,100.00
44,37.39,34.86,35.35,78.86,95.65
45,37.04,35.24,35.58,74.84,90.22
46,36.75,35.59,35.73,72.56,85.71
47,36.80,35.98,35.87,77.07,84.66
48,36.24,36.19,35.92,66.74,74.78
49,36.16,36.49,35.95,77.51,66.37
50,36.19,36.71,35.99,73.48,52.56
51,36.16,36.82,36.01,65.88,9.58
52,35.50,36.78,35.94,44.16,0.00
53,34.44,36.59,35.74,16.67,0.00
54,34.10,36.36,35.52,13.47,0.00
55,34.10,36.14,35.33,13.92,0.00
56,34.62,35.94,35.24,18.71,14.57
57,34.63,35.72,35.16,14.32,16.11
58,34.26,35.50,35.04,14.02,5.44
59,34.62,35.33,34.98,22.25,19.26
60,35.93,35.27,35.11,42.38,67.78
61,36.61,35.25,35.31,48.42,100.00
62,37.95,35.38,35.66,62.59,100.00
63,37.95,35.50,35.97,63.34,100.00
64,38.12,35.64,36.25,64.09,100.00
65,38.39,35.80,36.54,65.73,100.00
66,38.50,36.02,36.80,72.94,100.00
67,38.44,36.30,37.02,86.10,98.64
68,38.36,36.61,37.20,90.34,96.82
69,37.67,36.86,37.26,79.90,80.42
70,37.44,37.06,37.28,74.82,75.00
71,36.32,37.18,37.16,62.44,48.58
72,36.28,37.33,37.04,65.63,42.78
73,36.83,37.48,37.01,66.62,35.02
74,36.83,37.55,36.99,58.43,24.77
75,36.58,37.55,36.93,49.69,13.51
76,36.79,37.46,36.91,34.66,22.97
77,36.86,37.39,36.91,35.84,26.13
78,37.13,37.32,36.94,37.47,38.29
79,37.50,37.25,37.01,39.01,54.95
80,37.69,37.19,37.10,40.19,65.28
81,37.39,37.12,37.14,37.99,53.37
82,36.90,37.02,37.11,34.73,43.97
83,37.13,36.98,37.11,43.75,60.28
84,37.18,36.96,37.12,46.86,63.83
85,36.64,36.98,37.06,54.49,25.53
86,36.83,37.02,37.03,57.41,22.52
87,37.09,37.04,37.03,53.80,45.95
88,37.30,37.07,37.07,56.47,64.86
89,37.29,37.12,37.10,60.47,61.90
90,37.20,37.15,37.11,56.27,53.33
91,37.05,37.17,37.10,52.84,39.05
92,37.29,37.18,37.13,52.41,61.90
93,36.82,37.13,37.09,40.06,17.14
94,37.07,37.08,37.09,41.09,57.33
95,36.94,37.05,37.07,43.20,45.45
96,36.84,37.05,37.04,48.97,30.30
97,36.68,37.02,36.99,42.11,6.06
98,36.98,37.00,36.99,46.77,51.52
99,36.21,36.97,36.88,43.54,0.00
100,36.38,36.94,36.82,43.20,15.60
101,36.77,36.92,36.81,45.35,51.38
102,36.19,36.84,36.73,35.43,0.00
103,35.66,36.72,36.59,31.18,0.00
104,35.77,36.62,36.48,33.56,6.75
105,36.86,36.60,36.53,48.20,73.62
106,36.85,36.57,36.57,45.65,84.40
107,37.16,36.60,36.65,53.47,100.00
108,37.31,36.61,36.74,52.50,100.00
109,38.30,36.71,36.95,62.01,100.00
110,37.94,36.79,37.08,59.29,86.36
111,38.10,36.89,37.21,61.99,92.42
112,38.34,36.99,37.36,61.60,100.00
113,40.59,37.30,37.79,79.84,100.00
114,40.19,37.57,38.11,75.17,91.89
115,40.04,37.81,38.37,72.31,88.84
116,39.03,38.01,38.46,68.30,68.36
117,39.64,38.29,38.62,75.38,80.29
118,39.25,38.54,38.70,71.43,64.17
119,39.50,38.73,38.81,68.13,70.86
120,39.15,38.90,38.85,65.09,58.02
121,38.90,39.02,38.86,61.51,48.48
122,38.59,39.11,38.82,58.29,24.53
123,38.99,39.16,38.85,54.84,39.62
124,39.13,39.25,38.88,58.61,41.37
125,39.18,39.32,38.92,57.94,37.33
126,39.42,39.40,38.99,57.94,41.50
127,37.91,39.21,38.85,27.89,0.00
128,37.80,39.04,38.71,29.29,0.00
129,38.20,38.91,38.64,34.72,21.74
130,37.27,38.78,38.46,35.19,0.00
131,36.88,38.58,38.25,25.87,0.00
132,36.93,38.42,38.07,28.44,1.91
