Index,Close,SMA,EMA,RSI,StochK,StochD
0,17.19,,,,,
1,17.12,,,,,
2,17.52,,,,,
3,17.50,,,,,
4,17.32,,,,,
5,17.33,,,,,
6,18.11,,,,,
7,18.24,,,,,
8,19.10,,,,,
9,19.26,,,,,
10,19.31,,,,,
11,19.56,,,,,
12,20.52,,,,,
13,20.94,0.00,2.79,0.00,0.00,0.00
14,21.05,18.78,2.81,93.86,100.00,0.00
15,20.25,19.00,2.70,80.51,79.64,0.00
16,20.31,19.20,2.71,79.12,80.16,86.60
17,20.49,19.41,2.73,80.20,84.99,81.60
18,20.15,19.62,2.69,77.69,75.87,80.34
19,19.62,19.78,2.62,70.34,61.56,74.14
20,19.85,19.90,2.65,67.13,59.18,65.54
21,19.10,19.97,2.55,57.54,30.61,50.45
22,19.00,19.96,2.53,48.99,0.00,29.93
23,19.55,19.98,2.61,52.72,26.83,19.14
24,19.70,20.01,2.63,53.59,34.15,20.33
25,20.31,20.06,2.71,56.48,63.90,41.63
26,20.15,20.03,2.69,46.29,56.10,51.38
27,19.31,19.92,2.57,34.94,15.12,45.04
28,20.14,19.85,2.69,42.58,55.61,42.28
29,19.67,19.81,2.62,45.00,44.97,38.57
30,18.69,19.70,2.49,37.95,0.00,33.53
31,18.60,19.56,2.48,35.75,0.00,14.99
32,20.06,19.55,2.67,49.42,85.38,28.46
33,20.40,19.61,2.72,55.16,100.00,61.79
34,20.91,19.68,2.79,56.76,100.00,95.13
35,21.36,19.85,2.85,64.99,100.00,100.00
36,21.30,20.01,2.84,65.33,97.83,99.28
37,20.92,20.11,2.79,59.35,84.06,93.96
38,22.04,20.28,2.94,64.10,100.00,93.96
39,21.84,20.39,2.91,59.70,94.19,92.75
40,22.84,20.58,3.05,65.41,100.00,98.06
41,22.84,20.83,3.05,72.37,100.00,98.06
42,23.36,21.06,3.11,71.24,100.00,100.00
43,23.83,21.36,3.18,77.44,100.00,100.00
44,24.56,21.78,3.27,90.04,100.00,100.00
45,23.95,22.16,3.19,84.08,89.77,96.59
46,22.79,22.35,3.04,68.08,60.67,83.48
47,22.82,22.53,3.04,66.71,58.17,69.53
48,21.70,22.58,2.89,55.03,21.64,46.83
49,21.48,22.59,2.86,50.79,15.38,31.73
50,20.95,22.57,2.79,47.84,0.82,12.62
51,21.21,22.59,2.83,51.82,7.97,8.06
52,20.14,22.45,2.69,38.01,0.00,2.93
53,20.58,22.36,2.74,42.28,9.95,5.97
54,21.55,22.27,2.87,42.07,31.90,13.95
55,22.12,22.22,2.95,45.86,44.80,28.88
56,21.29,22.07,2.84,38.51,26.02,34.24
57,20.91,21.86,2.79,33.63,17.42,29.41
58,20.59,21.58,2.75,26.67,10.18,17.87
59,20.13,21.30,2.68,27.15,0.00,9.20
60,20.23,21.12,2.70,32.47,3.72,4.63
61,19.84,20.91,2.65,30.55,0.00,1.24
62,20.94,20.85,2.79,45.03,48.25,17.32
63,18.60,20.65,2.48,35.25,0.00,16.08
64,18.09,20.44,2.41,35.32,0.00,16.08
65,17.09,20.15,2.28,30.34,0.00,0.00
66,17.30,19.95,2.31,35.24,4.17,1.39
67,18.35,19.79,2.45,39.10,25.05,9.74
68,20.39,19.70,2.72,44.87,65.61,31.61
69,21.21,19.64,2.83,46.06,81.91,57.52
70,20.85,19.61,2.78,48.01,89.52,79.01
71,21.20,19.63,2.83,51.31,99.76,90.40
72,20.05,19.59,2.67,47.73,71.84,87.04
73,22.13,19.73,2.95,57.41,100.00,90.53
74,21.60,19.83,2.88,54.92,89.48,87.11
75,20.15,19.85,2.69,51.03,60.71,83.40
76,18.65,19.69,2.49,42.56,30.95,60.38
77,19.09,19.73,2.55,51.82,39.68,43.78
78,17.92,19.71,2.39,49.40,16.47,29.03
